140. KUU  [がんばリンカちゃん！]    [タイトーイン綾瀬@東京都@関東] Score: 1613986061 
141. G.urakaM  [真・一万段]    [タイトーアミュプラザ鹿児島店@鹿児島県@九州] Score: 1613451268 
142. Naka.F  [死ぬがよい。]    [最後の５ドル@福岡県@九州] Score: 1611319269 
143. cohalz  [GOD]    [タイトーステーション溝の口店@神奈川県@関東] Score: 1611210919 
144. Kreide  [無理]    [ラウンドワン長野店@長野県@信越] Score: 1610384241 
145. RETurn  [二代目超シューティング神]    [埼玉レジャーランド春日部店@埼玉県@関東] Score: 1610365868 
146. Syou0139  [伝統の幻想ブン屋]    [ｎａｍｃｏイオンＭ幕張新都心店@千葉県@関東] Score: 1610201117 
147. yetogen  [God a pain cover?]    [サードプラネットＢ京都二条店@京都府@近畿] Score: 1609708952 
148. xx_LA-LA  [バーカバーカ！]    [LOVEJIS LION KEELUNG@Taiwan@海外] Score: 1608570488 
149. ZONE  [「一緒に帰ろう」]    [リッチモンド@熊本県@九州] Score: 1608284731 
150. TAItyo!!  [隊長さん]    [タイトーステーション福岡天神店@福岡県@九州] Score: 1608206334 
151. SNOW  [ずんどこずんどこずんどこずんどこ]    [セガ伊勢@三重県@東海] Score: 1608125463 
152. C-man  [世界の歌姫]    [ｎａｍｃｏ三宮店@兵庫県@近畿] Score: 1607954303 
153. MONO  [ニャスニャス！]    [ギガゾーン広島駅前店@広島県@中国] Score: 1607576626 
154. DNOO  [初代DREAMER]    [タイトー　錦糸町楽天地店@東京都@関東] Score: 1606917429 
155. SEFY  [ウロボロス]    [キャロム坂戸店@埼玉県@関東] Score: 1606849705 
156. NATUNON  [Circuit GOD]    [タイトー横浜西口五番街店@神奈川県@関東] Score: 1605347889 
157. PICO  [羅刹神]    [アルティランド@広島県@中国] Score: 1605316115 
158. 44.44  [STAR COASTER GOD]    [タイトーステーション福岡天神店@福岡県@九州] Score: 1604752892 
159. CITRUS  [ノリノリンカちゃん]    [セガ難波アビオン@大阪府@近畿] Score: 1604530507 
160. *BUSY-0  [完全に極めたなっしんぐ]    [キングジョイ@愛知県@東海] Score: 1604045924 
161. July_u26  [Nightmare]    [ＣＬＵＢＳＥＧＡ春日井@愛知県@東海] Score: 1603733917 
162. onsenti  [dis-human]    [ハイテクランド　キューデン@東京都@関東] Score: 1603176476 
163. arisia  [しんどい]    [タイトーステーション浜松店@静岡県@東海] Score: 1603160876 
164. Rinne!?  [I love 暁月]    [プラボ札幌西町店@北海道@北海道] Score: 1602892990 
165. Kirisame  [魔砲「ファイナルマスタースパーク」]    [アテナ日本橋@大阪府@近畿] Score: 1601785106 
166. NOGUnSO  [S級服部半蔵]    [ｎａｍｃｏイオンモール大高店@愛知県@東海] Score: 1600616661 
167. ukyu  [ふわっふわ15歳]    [ラッキー西千葉店@千葉県@関東] Score: 1600229940 
168. YUKKE_GS  [GROOVER]    [スターダスト@岡山県@中国] Score: 1599617957 
169. S-Kang  [天下一チャレンジャー]    [DIBEIBAO(GUOBIN)@Taiwan@海外] Score: 1598917789 
170. 681&683  [リンドブルム]    [タイトーフジグラン北島店@徳島県@四国] Score: 1598783973 
